_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
1,A0016309,KOTO,DOG,GOLD,,GOLDEN RETR,NEUTERED,8/31/84,15 YEARS,7/31/23,MED R,STRAY,OTC,,7/31/23,,,DEAD,OCALA AVENUE,,7/31/23
2,A0537603,MILEY,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,9/14/05,18 YEARS,10/3/23,DEAD,DISPO REQ,OTC OWNED,,10/3/23,DISPOSAL,,DEAD,,SAN JOSE,10/3/23
3,A0540068,LIL DUDE,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,8/17/23,DEAD,DISPO REQ,OTC,,8/17/23,DISPOSAL,,DEAD,,SAN JOSE,8/17/23
4,A0548113,MOCHA,DOG,BROWN,,POMERANIAN,FEMALE,2/6/07,17 YEARS,3/28/24,DEAD,DISPO REQ,OTC,,3/28/24,DISPOSAL,,DEAD,SAYOKO CIR / SNELL AVE,SAN JOSE,3/28/24
5,A0556036,TY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2/12/06,18 YEARS,2/26/24,MED R,FOSTER,,,2/27/24,RESCUE,MUTTVILLE,MED R,,SAN JOSE,2/27/24
6,A0556036,TY,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2/12/06,18 YEARS,8/28/23,MED R,OWNER SUR,OTC,,2/26/24,FOSTER,,MED R,,SAN JOSE,2/26/24
7,A0559358,JIGGY/BOO BOO,DOG,BLACK,,CHIHUAHUA SH,SPAYED,5/23/03,20 YEARS,12/26/23,DEAD,DISPO REQ,OTC OWNED,,12/26/23,DISPOSAL,,DEAD,,SAN JOSE,12/26/23
8,A0574466,ANDREA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,8/13/07,16 YEARS,9/6/23,DEAD,DISPO REQ,OTC,,11/30/23,DISPOSAL,,DEAD,BALFOUR DR X LONE BLUFF WAY,SAN JOSE,11/30/23
9,A0586097,,CAT,CALICO-TRI,,DOMESTIC LH,SPAYED,,NO AGE,7/2/23,DEAD,DISPO REQ,OTC,,7/2/23,DISPOSAL,,DEAD,,,7/2/23
10,A0595412,WUPPY,DOG,WHITE,BLACK,COCKER SPAN,MALE,,NO AGE,2/7/24,DEAD,DISPO REQ,OTC OWNED,,2/7/24,DISPOSAL,,DEAD,,SAN JOSE,2/7/24
